"cap_ahorro_total_actual_buckets","cap_ahorro_total_actual_buckets_num","columna"
mayor_10000,6.0,cap_ahorro_total_actual_buckets_num
-10000_-2500,2.0,cap_ahorro_total_actual_buckets_num
-2500_0,0.0,cap_ahorro_total_actual_buckets_num
Sin_Informacion,4.0,cap_ahorro_total_actual_buckets_num
"0_2500",1.0,cap_ahorro_total_actual_buckets_num
menor_-10000,5.0,cap_ahorro_total_actual_buckets_num
"2500_10000",3.0,cap_ahorro_total_actual_buckets_num
mayor_10,5.0,contador_baja_buckets_num
"8_10",4.0,contador_baja_buckets_num
"4_6",0.0,contador_baja_buckets_num
menor_2,2.0,contador_baja_buckets_num
"6_8",3.0,contador_baja_buckets_num
"2_4",1.0,contador_baja_buckets_num
mayor_10,5.0,contador_plano_buckets_num
"4_6",2.0,contador_plano_buckets_num
"8_10",3.0,contador_plano_buckets_num
"6_8",4.0,contador_plano_buckets_num
menor_2,0.0,contador_plano_buckets_num
"2_4",1.0,contador_plano_buckets_num
-30000_-10000,0.0,gasto_promedio_trim_anterior_buckets_num
mayor_0,7.0,gasto_promedio_trim_anterior_buckets_num
-10000_-5000,1.0,gasto_promedio_trim_anterior_buckets_num
-2000_0,5.0,gasto_promedio_trim_anterior_buckets_num
-50000_-30000,6.0,gasto_promedio_trim_anterior_buckets_num
Sin_Informacion,4.0,gasto_promedio_trim_anterior_buckets_num
menor_-50000,2.0,gasto_promedio_trim_anterior_buckets_num
-5000_-2000,3.0,gasto_promedio_trim_anterior_buckets_num
-1000_0,0.0,gastos_consumo_promedio_trim_actual_buckets_num
menor_-7500,3.0,gastos_consumo_promedio_trim_actual_buckets_num
Sin_Informacion,4.0,gastos_consumo_promedio_trim_actual_buckets_num
-7500_-3000,2.0,gastos_consumo_promedio_trim_actual_buckets_num
-3000_-1000,1.0,gastos_consumo_promedio_trim_actual_buckets_num
menor_-10000,0.0,gastos_financieros_actual_buckets_num
-5000_-1000,3.0,gastos_financieros_actual_buckets_num
Sin_Informacion,4.0,gastos_financieros_actual_buckets_num
-10000_-5000,2.0,gastos_financieros_actual_buckets_num
-1000_0,1.0,gastos_financieros_actual_buckets_num
"25000.0_50000.0",3.0,ingreso_promedio_trim_actual_buckets_num
"10000_15000.0",2.0,ingreso_promedio_trim_actual_buckets_num
menor_2000,4.0,ingreso_promedio_trim_actual_buckets_num
"2000_10000",0.0,ingreso_promedio_trim_actual_buckets_num
"50000.0_100000",5.0,ingreso_promedio_trim_actual_buckets_num
mayor_100000,6.0,ingreso_promedio_trim_actual_buckets_num
"15000.0_25000.0",1.0,ingreso_promedio_trim_actual_buckets_num
Sin_Informacion,7.0,ingreso_promedio_trim_actual_buckets_num
Sin_Informacion,3.0,ingresos_duros_actual_buckets_num
menor_2500,0.0,ingresos_duros_actual_buckets_num
"2500_10000",1.0,ingresos_duros_actual_buckets_num
mayor_25000,4.0,ingresos_duros_actual_buckets_num
"10000_25000",2.0,ingresos_duros_actual_buckets_num
mayor_100000,3.0,saldo_medio_actual_buckets_num
menor_2500,0.0,saldo_medio_actual_buckets_num
"2500_10000",1.0,saldo_medio_actual_buckets_num
"25000_40000",5.0,saldo_medio_actual_buckets_num
"10000_25000",2.0,saldo_medio_actual_buckets_num
"40000_100000",4.0,saldo_medio_actual_buckets_num
menor_2500,0.0,saldo_medio_pasado_12m_buckets_num
"2500_10000",2.0,saldo_medio_pasado_12m_buckets_num
mayor_100000,4.0,saldo_medio_pasado_12m_buckets_num
Sin_Informacion,1.0,saldo_medio_pasado_12m_buckets_num
"40000_100000",5.0,saldo_medio_pasado_12m_buckets_num
"25000_40000",6.0,saldo_medio_pasado_12m_buckets_num
"10000_25000",3.0,saldo_medio_pasado_12m_buckets_num
-1_-0.5,2.0,var_12m_buckets_num
"0.5_1",5.0,var_12m_buckets_num
"0_0.2",3.0,var_12m_buckets_num
-0.2_0,0.0,var_12m_buckets_num
"0.2_0.5",4.0,var_12m_buckets_num
Sin_Informacion,6.0,var_12m_buckets_num
-0.5_-0.2,1.0,var_12m_buckets_num
"1_2",7.0,var_12m_buckets_num
Sin_Informacion,0.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
-0.5_-0.2,5.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
-0.2_0,4.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
"0_0.2",8.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
"0.5_1",6.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
menor_-1,1.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
-1_-0.5,3.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
"0.2_0.5",7.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
mayor_1,2.0,var_gastos_ahorro_mes_actual_trim_anterior_buckets_num
mayor_1,7.0,var_ingreso_mes_actual_trim_anterior_buckets_num
-0.2_0,0.0,var_ingreso_mes_actual_trim_anterior_buckets_num
